;,,,,,,,,,,,,,,
TABLE RetlLrgCECStd22090012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
Back_Office_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7or3b,Back_Office Zone,3586.856,1793.428,-99996,,,,,,,
Back_Shelving/Refrig_TU,BaseVAVNoReheatTrmlUnit-2,VAVNoReheatBox,BaseAirSys7or3b-2,Back_Shelving/Refrig Zone,12689.114,6344.557,-99996,,,,,,,
Back_Storage_TU,BaseVAVNoReheatTrmlUnit-3,VAVNoReheatBox,BaseAirSys7or3b-3,Back_Storage Zone,9272.689,4636.345,-99996,,,,,,,
Main_Entry_TU,BaseVAVNoReheatTrmlUnit-4,VAVNoReheatBox,BaseAirSys7or3b-4,Main_Entry Zone,9383.684,4691.842,-99996,,,,,,,
Registers/Aisle_TU,BaseVAVNoReheatTrmlUnit-5,VAVNoReheatBox,BaseAirSys7or3b-5,Registers/Aisle Zone,16231.597,8115.798,-99996,,,,,,,
Side_Entry_1_TU,BaseVAVNoReheatTrmlUnit-6,VAVNoReheatBox,BaseAirSys7or3b-6,Side_Entry_1 Zone,9299.155,4649.578,-99996,,,,,,,
Side_Entry_2_TU,BaseVAVNoReheatTrmlUnit-7,VAVNoReheatBox,BaseAirSys7or3b-7,Side_Entry_2 Zone,9672.342,4836.171,-99996,,,,,,,
Side_Shelving_East_TU,BaseVAVNoReheatTrmlUnit-8,VAVNoReheatBox,BaseAirSys7or3b-8,Side_Shelving_East Zone,16052.02,8026.01,-99996,,,,,,,
Side_Shelving_West_TU,BaseVAVNoReheatTrmlUnit-9,VAVNoReheatBox,BaseAirSys7or3b-9,Side_Shelving_West Zone,15949.416,7974.708,-99996,,,,,,,
Side_Storage_1_TU,BaseVAVNoReheatTrmlUnit-10,VAVNoReheatBox,BaseAirSys7or3b-10,Side_Storage_1 Zone,9097.289,4548.644,-99996,,,,,,,
Side_Storage_2_TU,BaseVAVNoReheatTrmlUnit-11,VAVNoReheatBox,BaseAirSys7or3b-11,Side_Storage_2 Zone,4711.505,2355.753,-99996,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE RetlLrgCECStd22090012CoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Back_Office_CoilClg,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,101688.555,106092.748,-99996,-99996,11,2,,,,
Back_Shelving/Refrig_CoilClg,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,356495.532,371935.569,-99996,-99996,9.5,2,,,,
Back_Storage_CoilClg,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,262046.908,273396.319,-99996,-99996,9.5,2,,,,
Main_Entry_CoilClg,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,274526.771,286416.692,-99996,-99996,9.5,2,,,,
Registers/Aisle_CoilClg,BaseSys7or3b CoilClg-5,DirectExpansion,BaseAirSys7or3b-5,n/a,456020.145,475770.654,-99996,-99996,9.5,2,,,,
Side_Entry_1_CoilClg,BaseSys7or3b CoilClg-6,DirectExpansion,BaseAirSys7or3b-6,n/a,272103.412,283888.375,-99996,-99996,9.5,2,,,,
Side_Entry_2_CoilClg,BaseSys7or3b CoilClg-7,DirectExpansion,BaseAirSys7or3b-7,n/a,282275.275,294500.788,-99996,-99996,9.5,2,,,,
